Centroid_Lat,Centroid_Long,Cell_ID,Date,Events_per_Day,Event_Generators_Per_day,Normal_per_Day,Events_Overall,Event_Generators_Overall,Normal_Overall,Event_F_Per_DAY,Event_H_Per_DAY,Event_L_Per_DAY,Event_P_Per_DAY,Normal_F_Per_DAY,Normal_H_Per_DAY,Normal_L_Per_DAY,Normal_P_Per_DAY
21.183425687878977,79.05177812938291,88609610dbfffff,02-07-22,8,1,8.0,32,1,32.0,3,2,0,3,3.0,2.0,0.0,3.0
21.183425687878977,79.05177812938291,88609610dbfffff,02-08-22,4,1,4.0,32,1,32.0,0,2,0,2,0.0,2.0,0.0,2.0
21.156741448787187,79.13027151496752,8860961211fffff,02-03-22,3,2,1.5,11,3,3.6666666666666665,0,3,0,0,0.0,1.5,0.0,0.0
21.156741448787187,79.13027151496752,8860961211fffff,02-05-22,3,2,1.5,11,3,3.6666666666666665,0,2,0,1,0.0,1.0,0.0,0.5
21.156741448787187,79.13027151496752,8860961211fffff,02-06-22,3,1,3.0,11,3,3.6666666666666665,0,3,0,0,0.0,3.0,0.0,0.0
21.156741448787187,79.13027151496752,8860961211fffff,02-08-22,2,1,2.0,11,3,3.6666666666666665,0,2,0,0,0.0,2.0,0.0,0.0
21.156465366629405,79.12147220665727,8860961213fffff,02-01-22,1,1,1.0,36,3,12.0,0,1,0,0,0.0,1.0,0.0,0.0
21.156465366629405,79.12147220665727,8860961213fffff,02-02-22,3,1,3.0,36,3,12.0,0,1,0,2,0.0,1.0,0.0,2.0
21.156465366629405,79.12147220665727,8860961213fffff,02-03-22,13,2,6.5,36,3,12.0,2,5,0,6,1.0,2.5,0.0,3.0
21.156465366629405,79.12147220665727,8860961213fffff,02-04-22,4,1,4.0,36,3,12.0,1,1,0,2,1.0,1.0,0.0,2.0
21.156465366629405,79.12147220665727,8860961213fffff,02-05-22,8,2,4.0,36,3,12.0,1,4,0,3,0.5,2.0,0.0,1.5
21.156465366629405,79.12147220665727,8860961213fffff,02-06-22,3,1,3.0,36,3,12.0,0,2,0,1,0.0,2.0,0.0,1.0
21.156465366629405,79.12147220665727,8860961213fffff,02-08-22,4,1,4.0,36,3,12.0,0,2,0,2,0.0,2.0,0.0,2.0
21.14957950796648,79.13450127488727,8860961219fffff,02-01-22,2,1,2.0,35,3,11.666666666666666,0,1,0,1,0.0,1.0,0.0,1.0
21.14957950796648,79.13450127488727,8860961219fffff,02-02-22,1,1,1.0,35,3,11.666666666666666,0,0,0,1,0.0,0.0,0.0,1.0
